Data;Ora;Girone;Casa;Fuori
24/09/2026;18:00;D1;Andorra;Malta
24/09/2026;20:45;A2;Olanda;Germania
24/09/2026;20:45;A2;Serbia;Grecia
24/09/2026;20:45;A4;Norvegia;Danimarca
24/09/2026;20:45;A4;Portogallo;Galles
24/09/2026;20:45;B3;Austria;Israele
24/09/2026;20:45;B3;Kosovo;EIRE
24/09/2026;20:45;D2;Liechtenstein;Lituania
25/09/2026;18:00;B2;Georgia;Irlanda del Nord
25/09/2026;18:00;C2;Armenia;Lettonia
25/09/2026;20:45;A1;Italia;Belgio
25/09/2026;20:45;A1;Turchia;Francia
25/09/2026;20:45;B2;Ungheria;Ucraina
25/09/2026;20:45;B4;Polonia;Bosnia
25/09/2026;20:45;B4;Svezia;Romania
25/09/2026;20:45;C2;Montenegro;Cipro
26/09/2026;15:00;B1;Slovenia;Scozia
26/09/2026;18:00;C1;San Marino;Finlandia
26/09/2026;18:00;C3;Isola Faroer;Kazakistan
26/09/2026;18:00;C4;Bulgaria;Lussemburgo
26/09/2026;18:00;C4;Islanda;Estonia
26/09/2026;20:45;A3;Repubblica Ceca;Croazia
26/09/2026;20:45;A3;Inghilterra;Spagna
26/09/2026;20:45;B1;Macedonia;Svizzera
26/09/2026;20:45;C1;Albania;Bielorussia
26/09/2026;20:45;C3;Slovacchia;Moldova
27/09/2026;15:00;D2;Lituania;Azerbaigian
27/09/2026;18:00;A2;Serbia;Olanda
27/09/2026;18:00;A4;Danimarca;Galles
27/09/2026;18:00;B3;Austria;Kosovo
27/09/2026;18:00;D1;Gibilterra;Andorra
27/09/2026;20:45;A2;Germania;Grecia
27/09/2026;20:45;A4;Norvegia;Portogallo
27/09/2026;20:45;B3;Israele;EIRE
28/09/2026;18:00;B2;Georgia;Ucraina
28/09/2026;18:00;C2;Armenia;Montenegro
28/09/2026;18:00;C2;Lettonia;Cipro
28/09/2026;20:45;A1;Belgio;Francia
28/09/2026;20:45;A1;Turchia;Italia
28/09/2026;20:45;B2;EIRE;Ungheria
28/09/2026;20:45;B4;Romania;Bosnia
28/09/2026;20:45;B4;Svezia;Polonia
29/09/2026;18:00;C1;Finlandia;Bielorussia
29/09/2026;18:00;C3;Moldova;Isole Faroer
29/09/2026;20:45;A3;Repubblica Ceca;Inghilterra
29/09/2026;20:45;A3;Spagna;Croazia
29/09/2026;20:45;B1;Scozia;Svizzera
29/09/2026;20:45;B1;Slovenia;Macedonia
29/09/2026;20:45;C1;San Marino;Albania
29/09/2026;20:45;C3;Slovacchia;Kazakistan
29/09/2026;20:45;C4;Bulgaria;Estonia
29/09/2026;20:45;C4;Lussemburgo;Islanda
01/10/2026;18:00;D2;Azerbaigian;Liechtenstein
01/10/2026;20:45;A2;Germania;Serbia
